mark_markid,mark_name,mark_addr_sect,mark_addr,mark_name1,mark_subunit,mark_subname,mark_flag,mark_xcoor67,mark_ycoor67,mark_html,mark_engname,mark_spot,mark_memo,mark_self,mark_addr_lie,marklev1,marklev2,marklev3,marklev4,marklev5
0950100180,7-11便利商店工農門市,信義區,忠孝東路五段236巷6之3號,7-11,,,0,306866.703,2770555.607,www.7-11.com.tw/,7-Eleven Chain Store Gongnong Branch,0,,,廣居里,休閒購物,生活購物,便利商店,,
0950100220,7-11便利商店仟發門市,大同區,民生西路97號,7-11,,,0,301553.572,2772475.948,www.7-11.com.tw/,7-Eleven Chain Store Qianfa Branch,0,,,雙連里,休閒購物,生活購物,便利商店,,
0950100231,7-11便利商店民有門市,松山區,民權東路三段108號,7-11,,,0,304158.913,2772946.809,www.7-11.com.tw/,7-Eleven Chain Store Minyou Branch,0,,,民有里,休閒購物,生活購物,便利商店,,
0950100250,7-11便利商店吉仁門市,松山區,延吉街28號,7-11,,,0,305017.028,2771223.006,www.7-11.com.tw/,7-Eleven Chain Store Jiren Branch,0,,,吉仁里,休閒購物,生活購物,便利商店,,
0950100267,7-11便利商店至善門市,士林區,至善路二段268號,7-11,,,1,304743.884,2777226.955,www.7-11.com.tw/,7-Eleven Chain Store Zhishan Branch,0,,,臨溪里,休閒購物,生活購物,便利商店,,
0950100345,7-11便利商店松智門市,信義區,莊敬路325巷43號,7-11,,,0,306161.477,2769322.689,www.7-11.com.tw/,7-Eleven Chain Store Songzhi Branch,0,,,景新里,休閒購物,生活購物,便利商店,,
0950100346,7-11便利商店松隆門市,信義區,松隆路286號,7-11,,,0,307277.325,2771453.961,www.7-11.com.tw/,7-Eleven Chain Store Songrong Branch,0,,,四育里,休閒購物,生活購物,便利商店,,
0950100411,7-11便利商店建忠門市,大安區,忠孝東路三段249之1號,7-11,,,0,303815.159,2770725.961,www.7-11.com.tw/,7-Eleven Chain Store Jianzhong Branch,0,,,誠安里,休閒購物,生活購物,便利商店,,
0950100444,7-11便利商店晏揚門市,內湖區,康寧路三段99巷14號,7-11,,,0,310784.246,2774174.298,www.7-11.com.tw/,7-Eleven Chain Store Yanyang Branch,0,,,康寧里,休閒購物,生活購物,便利商店,,
0950100459,7-11便利商店基河門市,中山區,敬業三路162巷212號,7-11,,,0,305639.533,2774915.447,www.7-11.com.tw/,7-Eleven Chain Store Jihe Branch,0,,,金泰里,休閒購物,生活購物,便利商店,,
0950100518,7-11便利商店港福門市,南港區,興華路90號,7-11,,,0,310277.496,2772334.195,www.7-11.com.tw/,7-Eleven Chain Store Gangfu Branch,0,,,東新里,休閒購物,生活購物,便利商店,,
0950100563,7-11便利商店新格蘭門市,中正區,衡陽路27號,7-11,,,0,300906.487,2770774.837,www.7-11.com.tw/,7-Eleven Chain Store Xin Gelan Branch,0,,,光復里,休閒購物,生活購物,便利商店,,
0950100586,7-11便利商店萬芳門市,文山區,萬安街25號,7-11,,,0,306776.819,2766206.774,www.7-11.com.tw/,7-Eleven Chain Store Wuanfang Branch,0,,,萬芳里,休閒購物,生活購物,便利商店,,
0950100650,7-11便利商店德福門市,內湖區,成功路四段30巷31號,7-11,,,0,308879.238,2775238.45,www.7-11.com.tw/,7-Eleven Chain Store Defu Branch,0,,,內湖里,休閒購物,生活購物,便利商店,,
0950100711,7-11便利商店雙連門市,大同區,民生西路176號,7-11,,,0,301386.262,2772410.213,www.7-11.com.tw/,7-Eleven Chain Store Shuanglian Branch,0,,,星明里,休閒購物,生活購物,便利商店,,
0950100718,7-11便利商店關渡門市,北投區,知行路282號,7-11,,,0,296308.704,2779522.802,www.7-11.com.tw/,7-Eleven Chain Store Guandu Branch,0,,,關渡里,休閒購物,生活購物,便利商店,,
0950100731,7-11便利商店權東門市,中山區,民權東路三段73號,7-11,,,0,304010.097,2773018.798,www.7-11.com.tw/,7-Eleven Chain Store Quandong Branch,0,,,下埤里,休閒購物,生活購物,便利商店,,
0950100123,7-11便利商店,松山區,八德路四段767號,7-11,,,0,307488.966,2771770.991,www.7-11.com.tw/,7-Eleven Chain Store,0,,,慈祐里,休閒購物,生活購物,便利商店,,
0950100130,7-11便利商店福讚門市,士林區,中正路227號,7-11,,,0,302240.941,2776631.755,www.7-11.com.tw/,7-Eleven Chain Store,0,,,,休閒購物,生活購物,便利商店,,
0950100131,7-11便利商店,內湖區,成功路四段50號,7-11,,,0,308904.242,2775215.979,www.7-11.com.tw/,7-Eleven Chain Store,0,,,內湖里,休閒購物,生活購物,便利商店,,
0950100152,7-11便利商店復維門市,大安區,復興南路二段17號,7-11,,,0,304045.254,2769674.057,www.7-11.com.tw/,7-Eleven Chain Store,0,,,,休閒購物,生活購物,便利商店,,
0950100178,7-11便利商店大龍門市,大同區,昌吉街72號,7-11,,,0,301212.529,2773369.432,www.7-11.com.tw/,7-Eleven Chain Store Dalong Branch,0,,,蓬萊里,休閒購物,生活購物,便利商店,,
0950100293,7-11便利商店和安門市,大安區,和平東路三段230號,7-11,,,0,305145.612,2768548.309,www.7-11.com.tw/,7-Eleven Chain Store Hean Branch,0,,,黎孝里,休閒購物,生活購物,便利商店,,
0950100307,7-11便利商店承華門市,大同區,承德路一段22號,7-11,,,0,301303.027,2771667.699,www.7-11.com.tw/,7-Eleven Chain Store Chenghua Branch,0,,,建明里,休閒購物,生活購物,便利商店,,
0950100352,7-11便利商店直安門市,中山區,北安路649號,7-11,,,0,304559.896,2775405.074,www.7-11.com.tw/,7-Eleven Chain Store Zhian Branch,0,,,大直里,休閒購物,生活購物,便利商店,,
0950100396,7-11便利商店信興門市,大安區,信義路四段32號,7-11,,,0,304138.078,2769765.062,www.7-11.com.tw/,7-Eleven Chain Store Xinxing Branch,0,,,住安里,休閒購物,生活購物,便利商店,,
0950100415,7-11便利商店恆安門市,大安區,永康街7之1號,7-11,,,0,302645.95,2769754.388,www.7-11.com.tw/,7-Eleven Chain Store Henan Branch,0,,,福住里,休閒購物,生活購物,便利商店,,
0950100425,7-11便利商店科建門市,大安區,建國南路一段30號,7-11,,,0,303278.013,2770989.694,www.7-11.com.tw/,7-Eleven Chain Store Kejian Branch,0,,,民輝里,休閒購物,生活購物,便利商店,,
0950100431,7-11便利商店迪化門市,大同區,民生西路345號,7-11,,,0,300739.871,2772395.762,www.7-11.com.tw/,7-Eleven Chain Store Dihua Branch,0,,,大有里,休閒購物,生活購物,便利商店,,
0950100457,7-11便利商店國興門市,萬華區,國興路104號,7-11,,,0,300173.955,2769115.454,www.7-11.com.tw/,7-Eleven Chain Store Guoxin Branch,0,,,新和里,休閒購物,生活購物,便利商店,,
0950100476,7-11便利商店統全門市,中正區,汀州路三段249號,7-11,,,0,303096.667,2767610.44,www.7-11.com.tw/,7-Eleven Chain Store Tongquan Branch,0,,,水源里,休閒購物,生活購物,便利商店,,
