mark_markid,mark_name,mark_addr_sect,mark_addr,mark_name1,mark_subunit,mark_subname,mark_flag,mark_xcoor67,mark_ycoor67,mark_html,mark_engname,mark_spot,mark_memo,mark_self,mark_addr_lie,marklev1,marklev2,marklev3,marklev4,marklev5
0950101357,摩斯漢堡,內湖區,東湖路110號,,,,0,311287.775,2773683.794,,,0,,,五分里,美食佳餚,西式料理,速食店,,
0950115989,摩斯漢堡,信義區,基隆路二段22之3號,,,,0,305546.542,2769623.925,,,0,,,中興里,美食佳餚,西式料理,速食店,,
0950127873,摩斯漢堡北投店,北投區,中央北路一段42之1號,,,,0,299663.189,2780924.12,,,0,,,,美食佳餚,西式料理,速食店,,
0950124544,摩斯漢堡民生店,松山區,民生東路四段114號,,,,0,305136.474,2772523.669,,,0,,,東昌里,美食佳餚,西式料理,速食店,,
0950127048,摩斯漢堡,文山區,指南路二段71號,,,,0,307206.936,2764766.013,,,0,,,萬興里,美食佳餚,西式料理,速食店,,
0950144693,摩斯漢堡,松山區,南京東路五段27號,,,,0,305482.934,2771828.174,,,0,,,東光里,美食佳餚,西式料理,速食店,,
0950149546,摩斯漢堡,士林區,中山北路六段730號,,,,0,302416.212,2778848.702,,,0,,,,美食佳餚,西式料理,速食店,,
0950500082,摩斯漢堡忠誠店,士林區,忠誠路一段188號,,,,0,302615.006,2778038.562,www.mos.com.tw/,Mos Burger Zhongzheng Branch ,1,,,忠誠里,美食佳餚,西式料理,速食店,,
0950500095,摩斯漢堡重慶北路店,大同區,重慶北路三段271號,,,,0,301024.336,2774076.332,www.mos.com.tw/,Mos Burger Chongqing N. Rd. Branch ,1,,,保安里,美食佳餚,西式料理,速食店,,
0950500135,摩斯漢堡民權西路店,中山區,民權西路25號1樓,,,,0,301783.144,2773060.073,www.mos.com.tw/,Mos Burger Minquan W. Rd. Branch ,1,,,集英里,美食佳餚,西式料理,速食店,,
0950156075,摩斯漢堡,中山區,大直街59號,,,,0,304290.116,2775329.318,,,0,,,大直里,美食佳餚,西式料理,速食店,,
0950500142,摩斯漢堡松江店,中山區,松江路156之1號,,,,0,302932.259,2772125.126,www.mos.com.tw/,Mos Burger Songjiang Branch ,1,,,中吉里,美食佳餚,西式料理,速食店,,
0950500459,摩斯漢堡台大店,大安區,羅斯福路四段1號,,,,0,303033.947,2767968.598,www.mos.com.tw/,Mos Burger Taida Branch ,0,,,學府里,美食佳餚,西式料理,速食店,,
0950500227,摩斯漢堡民生二店,松山區,民生東路五段184號,,,,0,306047.369,2772545.881,www.mos.com.tw/,Mos Burger MinSheng Second Branch ,1,,,,美食佳餚,西式料理,速食店,,
0950500098,摩斯漢堡明曜店,大安區,仁愛路四段151巷37號地下1層,,,,0,304879.528,2770589.407,www.mos.com.tw/,Mos Burger Mingyao Branch ,1,,,建倫里,美食佳餚,西式料理,速食店,,
0950500263,摩斯漢堡青年店,萬華區,青年路42號1樓,,,,0,300057.186,2768904.251,www.mos.com.tw/,Mos Burger qingnian Branch ,1,,,新和里,美食佳餚,西式料理,速食店,,
0950500086,摩斯漢堡福林店,士林區,福林路189號,,,,0,302881.526,2776824.072,www.mos.com.tw/,Mos Burger Fulin Branch ,1,,,福志里,美食佳餚,西式料理,速食店,,
0950500097,摩斯漢堡大安店,大安區,大安路一段237號,,,,0,304277.032,2769863.882,www.mos.com.tw/,Mos Burger Daan Branch ,1,,,德安里,美食佳餚,西式料理,速食店,,
0950500220,摩斯漢堡八德店,松山區,八德路三段123號,,,,0,305103.386,2771441.202,www.mos.com.tw/,Mos Burger Bade Rd. Branch ,1,,,復勢里,美食佳餚,西式料理,速食店,,
0950500077,摩斯漢堡天母東路店,士林區,天母東路21號,,,,0,302790.256,2779177.285,www.mos.com.tw/,Mos Burger Tianmu E. Rd.Branch ,1,,,天山里,美食佳餚,西式料理,速食店,,
0950500139,摩斯漢堡吉林店,中山區,吉林路27號,,,,0,302663.073,2771712.901,www.mos.com.tw/,Mos Burger Jilin Branch ,1,,,興亞里,美食佳餚,西式料理,速食店,,
0950500462,摩斯漢堡南港二店,南港區,園區街3之2號,,,,0,310910.497,2772618.689,www.mos.com.tw/,Mos Burger Nangang Second Branch ,0,,,三重里,美食佳餚,西式料理,速食店,,
0950500242,摩斯漢堡松山店,信義區,忠孝東路五段629號,,,,0,307633.417,2770742.34,www.mos.com.tw/,Mos Burger Songshan Branch ,1,,,永春里,美食佳餚,西式料理,速食店,,
0950500464,摩斯漢堡安和店,大安區,安和路一段70號,,,,0,304908.467,2770010.91,www.mos.com.tw/,Mos Burger Anhe Branch ,0,,,敦安里,美食佳餚,西式料理,速食店,,
0950500165,摩斯漢堡南昌店,中正區,南昌路一段44號,,,,0,301317.018,2769592.665,www.mos.com.tw/,Mos Burger Nanchang Branch ,1,,,龍福里,美食佳餚,西式料理,速食店,,
