mark_markid,mark_name,mark_addr_sect,mark_addr,mark_name1,mark_subunit,mark_subname,mark_flag,mark_xcoor67,mark_ycoor67,mark_html,mark_engname,mark_spot,mark_memo,mark_self,mark_addr_lie,marklev1,marklev2,marklev3,marklev4,marklev5
0950100721,清玉,內湖區,內湖路一段435號,,,,0,306866.711,2775113.754,,,0,,,麗山里,美食佳餚,茶飲冰品,泡沫紅茶,,
0950100028,12廚(台北喜來登大飯店),中正區,忠孝東路一段12號,,,,0,301848.425,2771057.809,www.sheraton-taipei.com,Kitchen 12 Sheraton Taipei Hotel,0,,,幸福里,美食佳餚,自助無限,,,
0950100107,壹咖啡,中山區,大直街56號,,,,0,304274.264,2775248.281,,,0,,,大直里,美食佳餚,茶飲冰品,咖啡.下午茶,,
0950100632,MITA,松山區,撫遠街306號,,,,0,306295.46,2772941.489,,,0,,,新益里,美食佳餚,其他美食,,,
0950100755,999海鮮城,內湖區,金湖路162號,,,,0,309602.46,2774956.135,,,0,,,清白里,美食佳餚,中式料理,台式料理,,
0950100862,愛家園餐飲,中正區,青島東路3之1號,,,,0,301798.28,2770963.238,,,0,,,幸福里,美食佳餚,中式料理,台式料理,,
0950100010,台南虱目魚專賣店,士林區,士東路286巷1之15號,,,,0,303388.216,2778607.97,,,0,,,,美食佳餚,各類小吃,,,
0950100438,幾分甜,南港區,南港路一段169號,,,,0,311045.374,2772231.87,,,0,,,南港里,美食佳餚,其他美食,,,
0950100498,Famonn coffee,松山區,光復北路9號,,,,0,305474.051,2771530.577,,,0,,,,美食佳餚,茶飲冰品,咖啡.下午茶,,
0950100118,葛樂蒂咖啡,大安區,辛亥路一段136號,,,,0,303047.07,2768533.753,,,0,,,,美食佳餚,茶飲冰品,咖啡.下午茶,,
0950100637,達人豆漿,萬華區,西園路一段314之2號,,,,0,299409.783,2769765.947,,,0,,,糖蔀里,美食佳餚,各類小吃,,,
0950100199,祥贊鵝肉店,士林區,中山北路七段174號,,,,0,302893.415,2779860.454,,,0,,,天山里,美食佳餚,中式料理,台式料理,,
0950100464,APPLE203,萬華區,康定路99號,,,,0,299829.32,2770465.196,,,0,,,福音里,美食佳餚,茶飲冰品,咖啡.下午茶,,
0950100495,來來甜不辣,北投區,尊賢街237號,,,,0,300359.655,2778934.963,,,0,,,,美食佳餚,各類小吃,,,
0950100146,Cama現烘咖啡專門店,中山區,建國北路二段131號,,,,0,303382.26,2772754.074,,,0,,,江山里,美食佳餚,茶飲冰品,咖啡.下午茶,,
0950100217,海鮮粥,士林區,福德路20號,,,,0,302170.411,2776307.7,,,0,,,,美食佳餚,其他美食,,,
0950100663,大埔鐵板燒,內湖區,東湖路119巷48號,,,,0,311421.637,2773840.577,,,0,,,東湖里,美食佳餚,中式料理,台式料理,,
0950100008,101茶園,內湖區,康樂街136巷28號,,,,0,311509.643,2774086.251,,,0,,,樂康里,美食佳餚,茶飲冰品,茶坊,,
0950100251,餃子虎水餃館,中山區,吉林路211號,,,,0,302678.933,2772766.019,,,0,,,中庄里,美食佳餚,各類小吃,,,
0950100416,竹松?菜素料行,文山區,指南路一段26號,,,,0,306654.197,2764723.879,,,0,,,木新里,美食佳餚,養身素食,素食料理,,
0950100086,金仙滷肉飯,信義區,虎林街38之4號,,,,0,307341.596,2771380.588,,,0,,,,美食佳餚,各類小吃,,,
0950100821,鍋大爺麻辣鍋,萬華區,武昌街二段18號,,,,1,300433.129,2770995.08,,,0,,,,美食佳餚,火鍋燒烤,火鍋料理,,
0950100955,B-One自助餐廳(西華大飯店),松山區,民生東路三段111號,,,,0,304239.941,2772522.373,www.sherwood.com.tw,B-one Buffet Restaurant Of The Sherwood Taipei,0,,,民有里,美食佳餚,自助無限,,,
0950100994,CAMA咖啡,信義區,松德路163號,,,,0,307176.767,2770131.622,,,0,,,,美食佳餚,茶飲冰品,咖啡.下午茶,,
0950100070,萬隆餐館,文山區,羅斯福路五段218巷25號,,,,0,303431.008,2766313.3,,,0,,,,美食佳餚,中式料理,台式料理,,
0950100233,小林食堂,大安區,新生南路一段165巷16號,,,,0,303100.971,2769869.653,,,0,,,,美食佳餚,日式料理,,,
0950100683,安格海產,中山區,錦西街11號,,,,0,301763.624,2772775.539,,,0,,,,美食佳餚,中式料理,台式料理,,
0950100918,洋蔥牛排餐廳,士林區,忠誠路二段132號,,,,0,302826.263,2778734,,,0,,,,美食佳餚,西式料理,牛排館,,
0950100106,甘泉麵複合餐飲,松山區,北寧路34號,,,,0,304942.716,2771564.071,,,0,,,美仁里,美食佳餚,中式料理,北方麵食,,
0950100207,巧味香豆漿店,文山區,木新路二段42號,,,,0,306767.304,2764600.833,,,0,,,木新里,美食佳餚,各類小吃,,,
0950100263,饗樂牛排,中山區,長安東路二段35之1號,,,,0,302804.611,2771467.978,,,0,,,興亞里,美食佳餚,西式料理,牛排館,,
0950100067,三兄弟豆花,北投區,光明路215號,,,,1,299969.768,2781164.992,,,0,,,,美食佳餚,各類小吃,,,
0950100085,芒果恰恰,萬華區,中華路一段132號,,,,0,300455.623,2770897.23,,,0,,,萬壽里,美食佳餚,其他美食,,,
0950100030,161牛肉麵,文山區,木柵路一段161號,,,,0,304754.197,2764729.279,,,0,,,華興里,美食佳餚,中式料理,北方麵食,,
0950100056,文鳳飯館,士林區,社中街302號,,,,0,300166.175,2776293.495,,,0,,,永倫里,美食佳餚,中式料理,台式料理,,
0950100428,Famonn coffee 曼,中正區,汀州路三段153號,,,,0,302819.735,2767821.395,,,0,,,文盛里,美食佳餚,茶飲冰品,咖啡.下午茶,,
0950100017,美而美早餐,南港區,中南街17號,,,,0,311250.509,2772185.454,,,0,,,,美食佳餚,其他美食,,,
0950100033,清心福全,南港區,同德路54號,,,,0,308177.686,2771143.743,,,0,,,,美食佳餚,茶飲冰品,泡沫紅茶,,
0950100081,霸味薑鴨,南港區,忠孝東路六段310號,,,,0,308712.015,2771574.904,,,0,,,,美食佳餚,中式料理,台式料理,,
0950100088,韓董韓台式料理,士林區,延平北路六段152號,,,,0,300290.187,2776005.75,,,0,,,,美食佳餚,異國料理,韓式料理,,
